sensorId,attachedAt,attachedTill,assetId,sensorTechnology
I000776,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121349199,GPS
I000780,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121325116,GPS
I000781,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121349227,GPS
I000784,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121325100,GPS
I000785,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121324314,GPS
I000789,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121324184,GPS
I000795,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121324407,GPS
I000796,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121325103,GPS
I000838,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121349237,GPS
I000844,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121324238,GPS
I000853,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121349223,GPS
I000858,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121324214,GPS
I000862,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121324304,GPS
I000878,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121349231,GPS
I000885,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121324232,GPS
I000910,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121344680,GPS
I000957,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121344630,GPS
I000962,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121344584,GPS
I000991,2023-03-21T00:00:00Z,2200-12-31T23:59:59Z,008003006625100112232121344679,GPS
S134438,2022-08-01T00:00:00Z,2200-12-31T23:59:59Z,004908b7f3a5d25aad724acca195ef6a8e2866eeb4a06025e74386b925b4ac62,BLE
S137324,2022-08-01T00:00:00Z,2200-12-31T23:59:59Z,001a4c1d4d3a03ae2c176575d220c8931769409c361a73a6f2248770859c9755,BLE
