region,locationType,ifcoSystemPartner,locationTag,locationName,extLocationId,countryName
EU,Shop / Point of Sale,Sonae,POS,Continente Bom Dia Cruz de Pau,72f2074b-fdfa-4996-83fe-41b29d03dcb2,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Bom Dia Vendas Novas,b33ce8bb-ded4-4040-aa5d-91f3fe77ec2b,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Modelo Castelo Branco,fa34ed95-3db0-4331-af56-2fabab39eca8,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Bom Dia Colombo,be221d1d-7b78-4950-9154-08342ac84417,Portugal
EU,Shop / Point of Sale,Sonae,POS,Meu Super Calendaria,533d0388-3804-423c-b6c6-93ecc42b7b25,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Modelo Montelavar,02151dfb-7163-4405-b6dd-8bba2b509b34,Portugal
EU,Producer,null,PRD,Horticolas N & D Lda,a1a2a231-57bd-477b-8913-7b3759238943,Portugal
EU,Shop / Point of Sale,AUCHAN,POS,PA Penamacor - 710,de97490b-3382-4d23-992f-81ea62d51e1b,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Forum Coimbra,65d1e6d9-c835-4d48-8a74-ae58647d7321,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Modelo Beja Retail Park,5ec8d439-7655-4bc6-9fd9-3f8282b8e851,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Gaiashopping,e6513e56-3d63-4eea-8d12-eda7d3227f70,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Bom Dia Charneca da Caparica,8e5e1481-3f1c-4eb5-92ef-5c4fc103aac1,Portugal
EU,Producer,null,PRD,(ANL) Frutorbel - Frutas Lda,c6193388-135e-478a-826a-27780a5c4877,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Modelo Portalegre,5fa8109f-a61b-4635-970d-020778c9267e,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Bom Dia Avanca,3d3a2321-ce71-448c-9bf3-136c47fde360,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Modelo Angra do Heroismo,b3894171-4a49-4875-a71a-106154d8832f,Portugal
EU,Service Centre / Wash Centre,null,SC,IFCO SC Azambuja,6dca197e-9982-46db-8c22-500bca463c3e,Portugal
EU,Distribution Centre,Sonae,DC,ENTREPOSTO PHARMA - DHL VIALONGA,6c2da594-a372-4470-9f45-6cda9a752d03,Portugal
EU,Shop / Point of Sale,AUCHAN,POS,AUCHAN GONDOMAR - 35,596a2065-5731-4633-b29a-a4f393ef95c6,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Modelo Trofa,6a21e2ae-3983-41f1-8712-161184e77c7e,Portugal
EU,Producer,null,PRD,Primohorta -Soc.de Prod Hortico Lda,c9d844dd-5a46-47d6-879b-6fafd2d3342a,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Portimao 2,c387c002-de48-4a52-adde-0ac85e5f83dd,Portugal
EU,Producer,null,PRD,Hortosintra Lda.,0036758f-1377-4445-a21f-0eba0d7c4ef5,Portugal
EU,Shop / Point of Sale,Sonae,POS,Meu Super Povoacao,4c3b455a-7380-40a6-beda-8be39a774149,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Modelo Caldas da Rainha,d2ad5855-476f-45c3-a3ac-8e0c3e612120,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Modelo Avintes,d446a8bc-083f-48c8-98ed-a42edc9b1e43,Portugal
EU,Shop / Point of Sale,AUCHAN,POS,AUCHAN SANTO TIRSO - 30,0a03cd99-c59b-4c52-ae7d-5293469e4848,Portugal
EU,Shop / Point of Sale,Sonae,POS,CBD POUS SARAMAGOS - 8442,998365f6-af57-4947-b5c3-6283bf4fb775,Portugal
EU,Producer,null,PRD,(ANL) Figueira Lda.,24610edd-821b-400f-8bd1-1a186c8d2684,Portugal
EU,Distribution Centre,Sonae,DC,ENTREPOSTO XD GUIA,55d92038-8aea-4bd0-9cd4-81e3121e93db,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Bom Dia Lavra,659aa515-5f2d-4d27-be1f-9618951685c1,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Modelo Alhos Vedros,dd998fb0-c45d-4024-ba47-f19d70634152,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Bom Dia Ermesinde,e61dcf86-7fca-4ede-a447-d2f234b5dd69,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Loureshopping,ce012524-87c9-4e04-ac4d-ad67e03740ba,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Bom Dia Alfragide,0b8560be-27a8-4151-814a-d351b35fd150,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Modelo Quarteira,5f68c01e-6c73-47f7-be13-75f289382746,Portugal
EU,Shop / Point of Sale,Sonae,POS,Continente Modelo Carcavelos,8335d02b-b105-4d86-8531-48e78de25fbf,Portugal
