PortalId,SiteID,PortalName
16E59836-31D5-4F4D-BDD4-2C2FB0E72168,FAC38CEA-A031-449E-A38F-2D129B1768E6,Sanko Mexico Dock 9
D06DB5F1-DDB8-45B8-859A-3148DD99EDE0,29C58C0E-8261-EB11-9889-000D3A103234,Portland Dock 16
106C3AF5-B7D6-451E-975B-3481D2B9CC42,238882BF-954F-EB11-A607-000D3A12CA66,IFCO SA Dock 26
314B6502-8120-47D7-89F0-349AC4A7BA29,09B63F37-8261-EB11-9889-000D3A103234,Atlanta Outbound 2
DEDFCB3B-E34B-41A9-B45D-381CB642449F,0037C750-36C5-EB11-A7AD-501AC586A223,Indy Dock 20
25534CCA-5AA3-49B0-A235-388870A6AF03,0037C750-36C5-EB11-A7AD-501AC586A223,Indy Dock 11
CF5DCCD5-AAD0-4FC4-BAFC-3D35AD78F292,CFB0DF4C-371A-EC11-981F-A04A5E9D8BA9,York Dock 12
349235D4-41D3-47D0-A5C5-3E802DAA7DEF,BEBAE8D9-8061-EB11-9889-000D3A103234,Fresno Inbound 10
61312E4B-FA62-4BD2-A065-3FC2D844EF06,238882BF-954F-EB11-A607-000D3A12CA66,IFCO SA Washline 1
655131B1-CFD9-4A22-947A-4160EF3D3316,BEBAE8D9-8061-EB11-9889-000D3A103234,Fresno Inbound 03
5F427CDD-4755-434C-8D17-42ACB45DBF84,FAC38CEA-A031-449E-A38F-2D129B1768E6,Sanko Mexico Dock 7
7232E69F-4527-426F-8FF7-431F3543FDBD,29C58C0E-8261-EB11-9889-000D3A103234,Portland Colussi Washline
E079D8AD-7D46-4550-9E4C-45772F22E64B,6C5AF2E1-451A-EC11-981F-A04A5E9D8BA9,Guelph Dock 09
9C8837F8-A7A5-421F-B7EE-45F1FF9CF7D7,09B63F37-8261-EB11-9889-000D3A103234,Atlanta Washline 03
E1C47580-559D-44BE-9863-47F11DA9B783,238882BF-954F-EB11-A607-000D3A12CA66,IFCO SA Dock 20
B9470C2D-6E19-4292-9CE5-4B7AA7764727,0037C750-36C5-EB11-A7AD-501AC586A223,Indy Dock 19
8D7F8E59-7FC5-4BD3-A21B-4CFA282FF2B1,BEBAE8D9-8061-EB11-9889-000D3A103234,Fresno Outbound 13
1A65C70F-EDA4-457A-8359-4E0EC1B605A6,5A4530E8-8161-EB11-9889-000D3A103234,IFCO Rancho SE Rollup
F48EF808-529A-406D-AFAF-4EC268132E87,238882BF-954F-EB11-A607-000D3A12CA66,IFCO SA Dock 28
F1B2AD6E-C6A3-EC11-A22A-501AC5862C0A,B94701F2-BED9-EB11-A7AC-A04A5EA8C64B,Trendz SA Inbound 1
C1E50C6A-952C-49A5-ADA8-501E133808B4,5A4530E8-8161-EB11-9889-000D3A103234,IFCO Rancho Dock 32
BD8D54D2-EC1D-47BC-8A26-52461CFC15A7,09B63F37-8261-EB11-9889-000D3A103234,Atlanta Inbound 04
81ED0506-6354-48EA-8441-52AE768FCC0C,CFB0DF4C-371A-EC11-981F-A04A5E9D8BA9,York Dock 06
15012E90-E1F2-41D0-9984-5349BAE19873,6C5AF2E1-451A-EC11-981F-A04A5E9D8BA9,Guelph Dock 07
60C5F502-F2FD-4592-A23E-57A5C41F9FD3,BEBAE8D9-8061-EB11-9889-000D3A103234,Fresno Inbound 04
25DBDB99-BFFF-435C-ABA2-59216F35691C,09B63F37-8261-EB11-9889-000D3A103234,Atlanta Inbound 03
D47E7C96-A38F-4BE7-AB2D-5BFDA45FA439,0037C750-36C5-EB11-A7AD-501AC586A223,Indy Dock 03
6D98C2EF-5F15-4421-8370-5C0B6BB3D54A,5A4530E8-8161-EB11-9889-000D3A103234,IFCO Rancho Dock 18
A750D5EF-FCEF-415E-AF32-5E4FB8E5AAC9,CFB0DF4C-371A-EC11-981F-A04A5E9D8BA9,York Dock 05
5C64AA12-EA73-47C3-A8D4-6099849341D5,238882BF-954F-EB11-A607-000D3A12CA66,IFCO SA Dock 18
87C7A661-3DF7-453B-B243-6244EE4AB6EB,6C5AF2E1-451A-EC11-981F-A04A5E9D8BA9,GuelphWashline2
C1C659E3-5100-40B8-BC22-63445C16C952,5A4530E8-8161-EB11-9889-000D3A103234,IFCO Rancho Dock 07
1CDCC367-1524-4F8A-9D41-64C0279EC11A,CFB0DF4C-371A-EC11-981F-A04A5E9D8BA9,York Dock 32
690536B1-391D-4A1C-A7AA-6502BF8375EC,5A4530E8-8161-EB11-9889-000D3A103234,Rancho Bruel Washline
82BB6897-8247-48E1-9BDD-680F40892E51,32DC1238-3C1A-EC11-981F-A04A5E9D8BA9,Longueuil Dock 02
750DF43C-3EFA-4E90-88D9-6875BB8E438A,238882BF-954F-EB11-A607-000D3A12CA66,IFCO SA Dock 27
0BBC422D-86C2-466B-8842-69FFD614530B,09B63F37-8261-EB11-9889-000D3A103234,Atlanta Inbound 01
E8E9C228-DA3D-4B7E-BE1B-6AE2DDE7189D,6C5AF2E1-451A-EC11-981F-A04A5E9D8BA9,Guelph Dock 03
8C539DEF-0A87-47FB-9548-6BBA6A5AB9DD,6C5AF2E1-451A-EC11-981F-A04A5E9D8BA9,Guelph Dock 10
DAF67CEC-D1C8-47AD-9253-6EA28FF3F9A1,0037C750-36C5-EB11-A7AD-501AC586A223,Indy Dock 17
83212E21-4041-4884-BDE9-6ED6D9A3D770,5A4530E8-8161-EB11-9889-000D3A103234,IFCO Rancho Dock 27
64F9E63A-3DAE-4162-B1F9-70D86EEA79DA,5A4530E8-8161-EB11-9889-000D3A103234,Rancho Bruel 1 Washline
2D46851F-FF15-44D0-AF80-72D958AB5951,09B63F37-8261-EB11-9889-000D3A103234,Atlanta Inbound 08
7C0F0F6A-1721-416B-B7E7-72F546A28A94,6C5AF2E1-451A-EC11-981F-A04A5E9D8BA9,Guelph Dock 04
51C61BC7-B949-403B-8ED1-74F3940FFD15,0037C750-36C5-EB11-A7AD-501AC586A223,Indy Dock 12
2AF6FF4B-D5D9-44D7-BE96-756983641303,BEBAE8D9-8061-EB11-9889-000D3A103234,Fresno Inbound 12
DFC7E006-2804-4052-AB14-75B1C4AA9C85,0037C750-36C5-EB11-A7AD-501AC586A223,Indy Dock 01
A3A20FC7-E5F4-4C39-AFAC-76B94EE362F7,CFB0DF4C-371A-EC11-981F-A04A5E9D8BA9,York Dock 07
06FF4AD5-6E16-408E-848B-77134F89FCFD,5A4530E8-8161-EB11-9889-000D3A103234,IFCO Rancho Dock 24
21BBEB38-6F6B-420D-BB79-785C358A11E0,CFB0DF4C-371A-EC11-981F-A04A5E9D8BA9,York Dock 33
03E53CA2-56A5-4CEC-B520-7BD6C68A4936,5A4530E8-8161-EB11-9889-000D3A103234,Rancho Colussi Washline
23983559-CD5D-479E-BCC3-7CA20EC855F7,5A4530E8-8161-EB11-9889-000D3A103234,IFCO Rancho Dock 22
3AB06387-5B79-41EB-8D06-7D3408406932,09B63F37-8261-EB11-9889-000D3A103234,Atlanta Inbound 06
0BCC0CB8-D033-422B-AD13-7E2A16C36E10,09B63F37-8261-EB11-9889-000D3A103234,Atlanta Inbound 10
9AA4BF21-F5B3-45C3-BB1C-811413F0D133,29C58C0E-8261-EB11-9889-000D3A103234,Portland Dock 06
0A7F42A7-2617-4485-9590-844DBE71BA0E,09B63F37-8261-EB11-9889-000D3A103234,Atlanta Washline 02
52848672-9878-4F4D-AA78-858A7BA59366,BEBAE8D9-8061-EB11-9889-000D3A103234,Fresno Inbound 13
E1C92BA5-10AE-4395-8DCD-88FB960F378F,0037C750-36C5-EB11-A7AD-501AC586A223,Indy Dock 22
345C082C-1E11-44A4-A402-89ECBEB48274,6C5AF2E1-451A-EC11-981F-A04A5E9D8BA9,GuelphWashline3
2CE576FA-CD0D-43B2-8D27-8CB90B8F8355,5A4530E8-8161-EB11-9889-000D3A103234,IFCO Rancho Dock 16
8BF52A26-5221-427A-86A3-8D16C197F283,5A4530E8-8161-EB11-9889-000D3A103234,IFCO Rancho Dock 05
73B61F77-9C03-4470-9B4A-8F00B8D29E58,238882BF-954F-EB11-A607-000D3A12CA66,IFCO SA Dock 24
69964DBD-F002-49CC-9B12-8F367181E973,5A4530E8-8161-EB11-9889-000D3A103234,IFCO Rancho Dock 20
1C4EBD14-6846-4854-8130-917742A32E48,CFB0DF4C-371A-EC11-981F-A04A5E9D8BA9,York Washline 2
B1FC8C29-CE27-4D03-A8E5-93C59FE91584,238882BF-954F-EB11-A607-000D3A12CA66,IFCO SA Dock 29
8BED20D3-45E7-43BA-8B7C-94B7306466D5,29C58C0E-8261-EB11-9889-000D3A103234,Portland Dock 08
